loyalty_number,loyalty_card,clv,province
585629,star,4423.69,quebec
347932,star,4425.75,new brunswick
417886,star,4425.91,british columbia
514900,star,4425.91,ontario
203550,star,4426.1,quebec
181825,star,4428.03,alberta
261582,star,4428.03,new brunswick
679859,star,4428.03,british columbia
977693,nova,2887.74,alberta
122958,star,4430.57,nova scotia
274698,star,4434.41,british columbia
443967,nova,3086.87,alberta
652291,star,4439.9,british columbia
603775,star,4443.63,ontario
948404,star,4447.42,manitoba
605877,star,4455.84,ontario
994377,star,4456.02,british columbia
766927,star,4457.94,ontario
556492,nova,3099.54,alberta
702588,star,4458.11,alberta
798248,star,4458.11,british columbia
641448,star,4462.45,british columbia
406047,star,4463.0,ontario
538902,star,4463.0,british columbia
855602,nova,3133.5,alberta
883242,star,4463.0,ontario
909134,star,4463.0,british columbia
294753,star,4463.61,ontario
606076,star,4465.34,alberta
120613,star,4466.1,quebec
520094,star,4466.98,quebec
754539,star,4467.71,quebec
189611,star,4468.22,british columbia
971599,star,4468.51,alberta
485189,star,4471.75,ontario
521384,star,4472.33,british columbia
128039,star,4474.48,saskatchewan
565133,star,4477.45,ontario
947876,star,4479.02,ontario
138746,star,4479.49,british columbia
564707,star,4479.49,ontario
712114,nova,3235.36,alberta
174996,star,4488.13,saskatchewan
798854,star,4491.91,british columbia
800075,star,4492.23,quebec
410384,star,4492.52,new brunswick
692304,star,4492.52,quebec
991672,star,4502.41,quebec
344180,star,4502.67,british columbia
703338,star,4502.87,ontario
922388,star,4505.4,british columbia
471018,star,4505.84,ontario
655743,star,4505.85,quebec
787472,star,4506.66,ontario
667687,star,4512.2,ontario
348920,star,4515.18,quebec
523394,star,4515.18,british columbia
430521,star,4515.45,saskatchewan
981581,star,4517.91,british columbia
639510,star,4518.02,manitoba
744675,star,4521.19,ontario
289177,star,4525.28,ontario
271641,nova,3256.77,alberta
357149,star,4526.13,quebec
876207,star,4526.95,quebec
224384,star,4528.74,ontario
650445,star,4529.06,ontario
399982,star,4529.98,british columbia
228984,star,4530.53,british columbia
221388,star,4531.37,ontario
710053,star,4531.37,quebec
591576,star,4531.68,quebec
696577,nova,3757.8,alberta
836475,star,4540.38,british columbia
686223,nova,3837.45,alberta
450979,star,4541.26,quebec
392235,star,4542.41,british columbia
529218,star,4547.16,british columbia
549132,star,4547.89,british columbia
782523,star,4547.89,ontario
566343,star,4548.29,quebec
263729,star,4554.56,ontario
326561,star,4554.56,british columbia
430880,nova,5272.19,alberta
216652,nova,5387.93,alberta
561092,star,4558.43,quebec
234866,star,4558.59,nova scotia
721984,star,4558.97,new brunswick
772397,star,4561.27,ontario
685792,star,4563.02,british columbia
344199,star,4563.87,ontario
909385,star,4564.51,ontario
211043,star,4566.12,yukon
459801,star,4568.82,ontario
958243,star,4569.88,ontario
517758,star,4570.67,yukon
712062,star,4570.67,ontario
845945,star,4571.51,british columbia
324707,star,4572.04,quebec
184635,star,4574.52,ontario
947123,star,4574.92,quebec
432598,star,4576.76,ontario
524483,star,4576.76,british columbia
413445,star,4582.16,quebec
257575,star,4582.67,ontario
352834,star,4582.69,ontario
127590,star,4582.9,quebec
846374,star,4583.1,ontario
651054,star,4583.75,ontario
674637,nova,5395.83,alberta
130368,star,4591.63,ontario
752331,star,4592.15,quebec
986825,star,4592.15,british columbia
882024,star,4594.26,british columbia
981343,star,4594.26,ontario
101581,star,4595.46,ontario
321557,star,4595.52,british columbia
390719,star,4598.24,british columbia
329358,star,4599.76,ontario
497494,star,4601.91,quebec
821379,star,4601.91,british columbia
361816,star,4605.04,british columbia
517612,star,4605.04,ontario
734192,star,4605.04,newfoundland
774724,star,4605.04,british columbia
984824,nova,5500.01,alberta
906396,star,4606.27,ontario
722976,star,4617.39,british columbia
747304,star,4617.84,british columbia
613804,star,4620.39,ontario
995877,star,4623.54,quebec
446968,star,4623.62,british columbia
123928,star,4624.56,quebec
237105,star,4624.56,new brunswick
395026,star,4624.62,ontario
702493,star,4624.62,british columbia
894466,star,4625.55,ontario
610393,star,4626.8,nova scotia
800726,star,4626.8,quebec
111171,star,4628.28,british columbia
133324,nova,5759.91,alberta
842064,star,4630.36,nova scotia
149542,star,4631.01,ontario
779434,star,4633.1,british columbia
203184,star,4633.55,nova scotia
225077,star,4636.55,saskatchewan
365816,star,4636.55,ontario
781463,star,4636.55,ontario
644786,star,4637.03,new brunswick
441440,star,4637.16,alberta
756791,star,4639.04,alberta
676676,star,4642.02,nova scotia
401858,star,4644.7,ontario
819569,star,4644.9,quebec
428826,star,4645.57,british columbia
132563,nova,5955.54,quebec
518533,star,4646.39,quebec
568547,star,4648.54,new brunswick
761007,star,4650.06,ontario
830931,star,4652.6,ontario
229204,star,4652.89,british columbia
437269,star,4654.84,british columbia
202761,star,4654.95,manitoba
723390,star,4655.21,british columbia
956005,star,4655.61,quebec
683361,star,4656.67,quebec
370486,star,4657.16,ontario
279919,star,4660.4,ontario
635249,star,4665.13,british columbia
849415,star,4665.13,ontario
334003,star,4668.04,british columbia
256323,star,4669.23,quebec
553567,star,4669.23,quebec
612555,star,4669.23,quebec
411242,star,4670.05,ontario
353128,star,4670.06,british columbia
367961,star,4670.95,ontario
431899,star,4671.42,quebec
835491,star,4673.2,ontario
791355,star,4678.42,alberta
331258,star,4681.53,nova scotia
713329,star,4685.5,ontario
422805,star,4686.47,quebec
660376,star,4686.47,ontario
841677,star,4686.47,ontario
871329,star,4686.81,nova scotia
626326,star,4692.05,quebec
412854,star,4692.1,british columbia
686728,nova,5989.77,quebec
333621,star,4692.17,ontario
270570,star,4692.66,british columbia
305171,star,4697.15,ontario
715668,star,4698.35,ontario
197529,star,4699.03,saskatchewan
496325,star,4700.01,ontario
873180,star,4700.01,british columbia
630320,star,4700.58,ontario
304944,star,4703.72,yukon
615662,star,4703.72,ontario
887192,star,4704.18,ontario
540497,star,4705.59,quebec
673061,star,4706.68,ontario
534794,star,4708.2,manitoba
336341,star,4709.52,ontario
465530,star,4711.08,quebec
600598,star,4711.85,new brunswick
724720,star,4713.4,british columbia
627489,star,4715.29,manitoba
264064,star,4715.47,saskatchewan
740762,star,4719.45,ontario
527622,star,4719.76,ontario
984636,star,4719.76,alberta
110691,star,4722.24,british columbia
737791,star,4722.24,ontario
219413,star,4723.82,ontario
260685,star,4726.87,british columbia
501363,star,4726.87,manitoba
982202,star,4726.87,ontario
218529,star,4727.35,quebec
343051,nova,8730.42,quebec
881157,star,4731.37,alberta
426185,star,4731.75,ontario
546758,star,4731.84,ontario
270723,star,4732.22,ontario
794248,nova,9599.95,quebec
504715,star,4734.26,british columbia
380183,star,4735.18,ontario
654817,star,4737.84,new brunswick
541078,star,4739.35,nova scotia
555112,star,4740.2,quebec
726732,star,4740.2,manitoba
948327,star,4742.11,british columbia
384269,star,4745.18,newfoundland
791852,star,4745.18,quebec
372183,star,4745.68,quebec
481857,star,4746.76,new brunswick
411523,star,4747.73,alberta
765252,star,4749.13,ontario
539358,star,4755.19,quebec
697837,star,4755.19,british columbia
464471,star,4755.48,ontario
410921,star,4755.72,ontario
826304,star,4758.19,quebec
200077,star,4759.66,ontario
597897,star,4759.66,british columbia
119408,star,4760.94,british columbia
241167,star,4762.59,newfoundland
159275,star,4763.33,quebec
615439,star,4763.33,manitoba
458697,star,4764.19,alberta
620465,star,4764.19,ontario
654578,star,4764.86,ontario
432451,star,4766.37,british columbia
251116,star,4766.65,quebec
381786,star,4766.94,newfoundland
440967,star,4766.94,quebec
368292,star,4770.26,alberta
493677,star,4770.55,saskatchewan
815207,nova,24261.02,quebec
850418,star,4770.55,quebec
574560,star,4770.74,ontario
406574,star,4772.94,ontario
532925,star,4773.66,ontario
119837,star,4774.75,british columbia
546039,star,4775.48,ontario
950914,star,4775.48,saskatchewan
387129,star,4776.19,british columbia
876006,star,4779.89,saskatchewan
230311,star,4781.82,ontario
955991,star,4782.35,ontario
279409,star,4784.42,manitoba
293531,star,4784.77,british columbia
886127,star,4784.77,ontario
536021,star,4784.96,ontario
687108,star,4784.96,british columbia
579005,star,4786.01,british columbia
758372,star,4786.05,british columbia
671764,nova,35850.6,quebec
142290,star,2004.35,alberta
605505,star,4787.47,manitoba
745336,star,4791.08,quebec
413185,star,4792.51,nova scotia
715462,star,4792.83,ontario
739933,star,4794.12,ontario
675106,star,4794.48,saskatchewan
767728,star,4795.39,quebec
244032,star,4798.24,british columbia
872408,star,4801.66,alberta
583648,star,4803.24,ontario
250380,star,4803.78,newfoundland
935504,star,4803.94,british columbia
311943,star,4804.51,ontario
811684,star,4807.85,manitoba
672103,star,4811.74,british columbia
657339,star,4812.53,alberta
433812,star,4814.35,quebec
217284,star,4815.01,alberta
559304,star,4815.02,saskatchewan
290249,star,4815.85,quebec
948815,star,4821.21,ontario
513229,star,4823.56,quebec
501278,star,4825.5,ontario
348299,star,4827.78,british columbia
500455,star,4829.57,british columbia
277356,star,4830.91,british columbia
615394,star,4831.42,ontario
936723,star,4832.12,british columbia
158314,star,4834.71,ontario
418090,star,4834.71,ontario
769623,star,4834.71,ontario
685314,star,4834.8,ontario
413282,star,4835.78,ontario
884088,star,4836.05,ontario
445867,star,4836.39,quebec
568286,star,4837.93,new brunswick
965066,star,4838.21,ontario
105145,star,4839.11,ontario
516329,star,4847.24,british columbia
945479,star,4853.1,british columbia
363925,star,4853.53,british columbia
798216,star,4854.75,ontario
822694,star,4855.77,ontario
747483,star,4858.07,quebec
784838,star,4858.07,nova scotia
405597,star,4858.12,quebec
502592,star,4860.91,new brunswick
999143,star,4861.37,ontario
134717,star,2379.74,alberta
416620,star,4862.91,quebec
198424,star,4863.54,alberta
455892,star,2393.92,alberta
814653,star,4864.53,saskatchewan
636505,star,4865.37,quebec
923268,star,2457.58,quebec
685346,star,4869.24,quebec
967634,star,4869.24,new brunswick
919506,star,4869.6,british columbia
272944,star,4872.02,quebec
512906,star,4872.02,new brunswick
490984,star,4872.58,ontario
812042,star,4872.77,british columbia
366719,star,4873.35,quebec
192177,star,4873.44,manitoba
273353,star,4873.44,quebec
249555,star,4876.47,ontario
103862,star,4878.83,ontario
121935,star,4878.83,yukon
224402,star,4878.95,ontario
988839,star,4878.95,saskatchewan
416768,star,4879.71,ontario
667767,star,4880.71,british columbia
955178,star,4880.95,ontario
534716,star,4881.3,ontario
565041,star,4881.39,quebec
596004,star,4881.75,british columbia
340934,star,4882.29,nova scotia
335839,star,4882.49,ontario
621940,star,4883.55,british columbia
308379,star,4883.81,british columbia
683791,star,4884.16,ontario
715015,star,4884.16,british columbia
835796,star,4885.16,ontario
564201,star,4889.61,nova scotia
572410,star,4890.11,nova scotia
306288,star,4892.44,ontario
568111,star,4892.44,alberta
201220,star,4892.62,british columbia
533766,star,4893.29,british columbia
990933,star,4893.98,new brunswick
968764,star,2521.63,alberta
613265,star,4895.81,ontario
163608,star,4896.26,british columbia
237984,star,4896.26,quebec
288419,star,4896.27,quebec
285738,star,4896.56,british columbia
666556,star,4897.04,ontario
698180,star,4897.04,british columbia
807589,star,4898.96,ontario
135382,star,4899.23,ontario
444778,star,4899.23,british columbia
502534,star,4901.89,new brunswick
589840,star,4903.13,ontario
551300,star,4903.15,ontario
990204,star,4903.15,british columbia
148299,star,4903.81,manitoba
412902,star,4904.89,quebec
602694,star,4904.89,quebec
662934,star,2555.05,alberta
205445,star,4905.32,ontario
883349,star,4908.12,ontario
773293,star,4909.84,manitoba
957127,star,4911.0,new brunswick
176611,star,4911.12,nova scotia
848248,star,4911.12,saskatchewan
162013,star,4911.46,nova scotia
706628,star,4911.77,ontario
495027,star,4913.12,british columbia
731001,star,4913.12,quebec
106001,star,4914.04,quebec
692096,star,4914.04,manitoba
544569,star,4914.73,quebec
616220,star,4914.73,new brunswick
890361,star,4915.39,british columbia
778426,star,4916.37,new brunswick
211083,star,4916.48,ontario
693256,star,4916.58,ontario
343377,star,4920.49,saskatchewan
608739,star,4920.77,quebec
421497,star,4921.33,quebec
268094,star,4921.75,quebec
982608,star,4921.75,british columbia
703882,star,4922.17,british columbia
821404,star,4926.28,quebec
544561,star,4927.07,new brunswick
528074,star,4928.0,british columbia
709550,star,4928.0,quebec
601448,star,4929.55,ontario
264234,star,4929.81,ontario
989048,star,4929.81,british columbia
788460,star,4930.95,ontario
765973,star,4931.22,ontario
831087,star,4932.88,ontario
750776,star,4935.19,ontario
401336,aurora,4936.89,ontario
936612,aurora,4938.21,quebec
785836,aurora,4938.89,manitoba
161437,aurora,4940.51,british columbia
654187,aurora,4940.51,quebec
801821,aurora,4941.65,quebec
655044,aurora,4942.63,ontario
223946,aurora,4942.87,quebec
531286,aurora,4944.24,ontario
655614,aurora,4945.07,quebec
101876,aurora,4949.53,quebec
908729,aurora,4949.53,newfoundland
622269,aurora,4949.8,alberta
929701,aurora,4953.36,ontario
622171,aurora,4956.62,quebec
708020,aurora,4957.03,quebec
919922,aurora,4957.16,ontario
479872,aurora,4960.55,ontario
277091,aurora,4960.97,ontario
386363,aurora,4961.41,ontario
307233,aurora,4965.49,new brunswick
199342,aurora,4966.85,quebec
810257,aurora,4966.85,manitoba
252341,aurora,4967.54,quebec
485397,aurora,4969.36,newfoundland
328180,star,2567.15,alberta
687748,aurora,4971.35,british columbia
368830,aurora,4974.24,british columbia
249224,aurora,4974.8,ontario
444684,aurora,4974.8,prince edward island
181726,aurora,4974.87,british columbia
275413,star,2582.41,quebec
530978,aurora,4980.19,ontario
372261,aurora,4983.18,quebec
738427,aurora,4983.18,british columbia
295929,aurora,4984.62,ontario
381717,aurora,4984.62,ontario
437022,aurora,4984.62,quebec
582861,aurora,4984.62,quebec
945014,aurora,4984.62,ontario
809728,aurora,4987.64,ontario
460207,aurora,4988.58,british columbia
567256,aurora,4988.58,quebec
649089,star,2673.32,alberta
290599,aurora,4991.04,nova scotia
878909,aurora,4991.47,ontario
941194,aurora,4991.54,new brunswick
600820,aurora,4992.92,quebec
430228,aurora,4995.21,british columbia
646168,aurora,4996.55,ontario
866302,aurora,4996.55,manitoba
983524,star,2695.96,alberta
189146,aurora,4999.35,quebec
290517,aurora,4999.35,british columbia
513000,aurora,5000.62,manitoba
917352,aurora,5000.62,quebec
277910,aurora,5004.58,ontario
345014,aurora,5009.6,british columbia
911744,star,2725.36,alberta
484194,aurora,5009.81,ontario
618309,aurora,5010.38,quebec
160686,aurora,5010.92,quebec
355995,aurora,5010.92,manitoba
519203,aurora,5011.26,ontario
306402,aurora,5011.75,ontario
428590,aurora,5012.18,british columbia
446315,aurora,5013.14,quebec
576716,aurora,5013.14,nova scotia
111646,aurora,5015.01,ontario
685982,aurora,5015.01,ontario
166037,aurora,5016.14,british columbia
236593,aurora,5016.64,quebec
784113,aurora,5016.64,british columbia
896790,aurora,5016.83,british columbia
990595,aurora,5016.83,ontario
773261,aurora,5018.73,british columbia
756907,aurora,5021.15,quebec
455287,aurora,5021.69,british columbia
633999,aurora,5028.58,saskatchewan
285484,aurora,5028.84,quebec
342738,aurora,5028.84,nova scotia
907743,aurora,5029.64,ontario
484733,aurora,5029.67,british columbia
981848,aurora,5032.39,new brunswick
399575,aurora,5033.39,yukon
852310,aurora,5033.69,quebec
885007,aurora,5035.04,ontario
692097,aurora,5039.44,ontario
532813,aurora,5040.78,ontario
425445,aurora,5041.45,british columbia
410460,aurora,5048.05,ontario
508854,aurora,5049.12,nova scotia
141233,aurora,5050.83,alberta
277769,aurora,5054.33,british columbia
340479,aurora,5055.9,british columbia
980651,aurora,5055.9,ontario
513708,aurora,5059.62,alberta
796508,aurora,5059.62,ontario
304770,aurora,5059.99,quebec
993350,star,2763.52,quebec
203258,aurora,5061.76,alberta
654890,aurora,5065.49,quebec
716393,aurora,5065.94,saskatchewan
751612,aurora,5066.83,quebec
493427,aurora,5067.0,british columbia
908006,star,4059.57,quebec
827288,star,4118.59,quebec
204042,aurora,5067.64,manitoba
254683,aurora,5067.64,quebec
824259,aurora,5069.07,ontario
259634,aurora,5070.35,british columbia
730742,aurora,5070.35,quebec
287593,aurora,5071.65,british columbia
481450,aurora,5073.28,ontario
503598,aurora,5073.28,ontario
825593,aurora,5073.28,british columbia
591608,aurora,5074.25,british columbia
800923,aurora,5075.66,ontario
127128,aurora,5077.32,alberta
518249,aurora,5079.67,british columbia
682308,aurora,5079.83,quebec
974114,aurora,5079.84,ontario
179719,aurora,5085.02,ontario
780944,aurora,5085.84,ontario
369458,aurora,5087.02,british columbia
202585,aurora,5088.69,quebec
924719,aurora,5090.45,british columbia
345608,aurora,5090.78,alberta
662268,aurora,5090.78,ontario
526747,aurora,5093.38,ontario
395121,aurora,5094.52,ontario
331698,aurora,5096.67,british columbia
336539,aurora,5096.67,british columbia
351513,aurora,5096.67,ontario
586542,aurora,5096.67,quebec
792383,aurora,5096.67,quebec
274264,aurora,5096.7,nova scotia
460711,aurora,5098.85,quebec
117408,aurora,5099.51,saskatchewan
498644,aurora,5103.3,ontario
231273,aurora,5103.36,british columbia
329587,aurora,5106.11,ontario
206992,aurora,5107.16,ontario
421855,aurora,5107.16,newfoundland
469684,aurora,5107.16,british columbia
763520,aurora,5107.16,quebec
823112,aurora,5107.16,quebec
768012,aurora,5108.04,british columbia
399418,aurora,5109.5,nova scotia
734035,aurora,5110.76,ontario
332983,star,4479.02,quebec
894340,aurora,5111.36,prince edward island
192096,aurora,5112.31,british columbia
787172,aurora,5113.87,british columbia
400702,aurora,5116.73,ontario
416124,aurora,5119.41,ontario
456752,aurora,5119.9,nova scotia
466147,aurora,5120.62,quebec
226176,aurora,5121.56,alberta
837646,aurora,5121.56,ontario
559279,aurora,5121.84,british columbia
733693,aurora,5121.84,quebec
602900,aurora,5122.72,quebec
543978,aurora,5123.17,ontario
287212,aurora,5123.48,british columbia
660436,aurora,5123.77,ontario
472726,aurora,5124.22,quebec
887705,aurora,5124.22,nova scotia
220358,aurora,5126.04,ontario
590301,aurora,5126.04,british columbia
420464,aurora,5126.54,british columbia
640244,aurora,5126.54,quebec
384920,aurora,5126.84,ontario
573332,aurora,5126.84,british columbia
458320,aurora,5129.61,quebec
101663,aurora,5129.74,ontario
873458,aurora,5130.82,british columbia
141497,star,4842.28,quebec
866815,aurora,5132.68,british columbia
439296,aurora,5133.64,ontario
521311,aurora,5137.85,british columbia
709059,star,5471.83,quebec
735605,star,6636.86,quebec
235629,aurora,5140.39,new brunswick
173212,aurora,5141.98,quebec
476875,aurora,5143.88,ontario
330464,aurora,5146.9,nova scotia
743768,aurora,5146.9,saskatchewan
595325,aurora,5149.3,british columbia
881198,aurora,5149.3,quebec
881584,star,7164.4,quebec
748286,aurora,5153.92,quebec
949175,aurora,5153.92,manitoba
437810,aurora,5154.05,new brunswick
297869,aurora,5154.76,quebec
182587,aurora,5156.07,ontario
818391,aurora,5157.05,quebec
272812,aurora,5158.58,ontario
273357,aurora,5158.65,ontario
302908,aurora,5159.37,ontario
217616,aurora,5160.25,newfoundland
905497,aurora,5161.79,british columbia
166577,aurora,5162.12,ontario
820187,aurora,5162.37,british columbia
315851,aurora,5163.84,newfoundland
469977,aurora,5168.15,nova scotia
784570,aurora,5169.5,quebec
